STT,DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
436,4/4/2018,1161.24,1165.75,1176.22,1161.24,82.36
437,4/5/2018,1164.87,1169.12,1175.64,1163.76,70.59
438,4/6/2018,1170.42,1174.37,1180.6,1170.11,78.48
439,4/9/2018,1174.02,1177.68,1181.58,1169.56,87.63
440,4/10/2018,1177.85,1168.06,1185.06,1161.71,93.78
441,4/11/2018,1168.41,1137.2,1172.44,1137.2,105.6
442,4/12/2018,1136.76,1143.5,1143.5,1121.47,67.37
443,4/13/2018,1146.67,1134.21,1153.95,1131.61,83.94
444,4/16/2018,1133,1128.03,1136.8,1122.26,75.38
445,4/17/2018,1128.11,1130.32,1136.17,1119.7,57.92
446,4/18/2018,1131.56,1115.7,1136.98,1115.18,50.73
447,4/19/2018,1114.98,1066.09,1115,1066.09,80.75
448,4/20/2018,1066.33,1089.45,1089.62,1047.71,113.03
449,4/23/2018,1091.18,1055.37,1098.58,1055.37,75.43
450,4/24/2018,1055.24,1053.99,1060.92,1027.74,70.63
451,4/26/2018,1055.95,1018.97,1057.2,1011.51,86.28
452,4/27/2018,1018.06,1027.97,1029.36,1007.39,71.15
453,5/2/2018,1029.76,1012.84,1033.2,1009.98,68.95
454,5/3/2018,1011.83,1010.35,1012.12,989,91.65
455,5/4/2018,1012.44,1010.89,1023.16,1006.99,61.74
456,5/7/2018,1010.99,1048.03,1048.03,1010.99,65.36
457,5/8/2018,1048.53,1047.83,1059.68,1042.59,76.3
458,5/9/2018,1047.43,1046.39,1058.09,1037.1,59.64
459,5/10/2018,1046.9,1019.69,1047.5,1009.79,73.42
460,5/11/2018,1019.33,1030.79,1031.77,1003.47,62.19
461,5/14/2018,1031.18,1051.45,1051.45,1029.92,48.25
462,5/15/2018,1055.82,1055.49,1067.61,1052.16,53.74
463,5/16/2018,1055.31,1034.3,1055.31,1031.33,46.17
464,5/17/2018,1034.2,1007.09,1035.45,1007.09,55.5
465,5/18/2018,1007.05,1022.21,1023.23,989.2,57.99
466,5/21/2018,1023.28,997.21,1027.85,997.21,48.6
467,5/22/2018,996.19,958.95,996.19,947.7,76.25
468,5/23/2018,957.72,968.54,973.07,945.01,89.25
469,5/24/2018,968.93,960.55,974.17,951.17,56.44
470,5/25/2018,958.74,936.32,960.57,936.32,59.06
471,5/28/2018,932,898,932,894.31,84.48
472,5/29/2018,897.13,924.9,932.82,881.91,70.93
473,5/30/2018,924.47,918.64,925.18,902,60.66
474,5/31/2018,917.94,947.31,950.49,914.57,79.03
475,6/1/2018,949.13,969.15,970.81,948.69,82.28
476,6/4/2018,970.81,996.67,997,970.81,65.62
477,6/5/2018,996.55,1007.32,1008.83,996.15,91.47
478,6/6/2018,1007.51,1022.72,1023.38,995.29,68.13
479,6/7/2018,1023.95,1026.75,1034.72,1020.77,69.55
480,6/8/2018,1026.76,1025.87,1028.42,1017.9,55.02
481,6/11/2018,1025.71,1024.85,1034.85,1016.22,74.45
482,6/12/2018,1021.02,1008.76,1021.02,989.53,87.64
483,6/13/2018,1008.32,1018.59,1019.32,1005.58,40.69
484,6/14/2018,1018.07,1004.31,1022.95,1004.31,53.69
485,6/15/2018,1004.14,1005.04,1005.71,994.38,61.14
486,6/18/2018,1004.97,970.35,1006.58,970.35,58.33
487,6/19/2018,970.06,945.11,970.06,919.09,99.04
